code,price,frequency,name
"ANEX","80","5123","ANEX"
"ANEXX","50","5094","Physical  Exam for Immunization"
"V3","35","2103","V3"
"0714","80","1714","0714"
"GENAL1","113.95","1590","GENAL1"
"VACC123","35","1516","VACC123"
"NAILT","20.5","1286","Nail Trim (Cats/Dogs)"
"BL","34.7","1217","Blood  Collection"
"NAIL1","15","1208","Nail Trim Add-On (Canine/Feline)"
"K95WAY","35","1182","K95WAY"
"V1","35","1122","Rabies Vaccination 1 Year"
"BLO","41.35","1094","BLO"
"1002","27","962","1002"
"102221","30","908","102221"
"2VW","190","865","X-Rays   2 Views"
"109257","60","823","109257"
"VACC9","81","796","ADULT DA2PPV (1YEAR)"
"REEX","42","794","REEX"
"1007","27","772","Kennel  Cough   Combined"
"1013","27","762","1013"
"HC","80","759","Health Exam - Canine"
"3YEARS","38","751","3YEARS"
"ANAL1","20","724","ANAL1"
"CYSTO","46.8","711","CYSTO"
"ANAL","30","697","ANAL"
"1VW","95","696","1VW"
"PROF","66","674","Professional Services"
"URIN2","95.7","664","Urinalysis Full IN"
"TOTT4","37.02","641","SDMA (In Clinic)"
"GENPA2","80","633","Pre- Anesthetic (10) CBC Lytes"
"VACC3","35","564","VACC3"
"VACC5A","35","546","VACC5A"
"307","60","543","Cremation Communal 2kg-9kg"
"SEDIM","70","541","SEDIM"
"ANEXA","45","533","ANEXA"
"HEF","80","525","HEF"
"KCORAL","39","523","KCORAL"
"ANEXSS","65","492","ANEXSS"
"SCARS6","35","490","SCARS6"
"VACC","35","481","Canine DA2PP Vaccination 1st"
"SQ","40","478","SQ"
"FL","30","471","FL"
"CYTOLOGY","57.6","464","CYTOLOGY"
"ANALN","40","444","Anal Glands And Nail Trim"
"VACCFELC","35","440","VACCFELC"
"SCAR","12","424","Rescue  Microchip  Implantation"
"FASP","450","424","DENTAL-CLEANING PACKAGE( FASP)"
"CLIP","35","413","CLIP"
"SCARS10","15","406","Rescue Pain Medication"
"KCIN","30","403","KCIN"
"PARVOK9","35","399","PARVOK9"
"101","89","392","101"
"1001","81","377","1001"
"MISC","21","377","MISC"
"SCARS5","12","359","Rescue  Microchip"
"135948","10.34","357","135948"
"303A","180","356","303A"
"GERI","270","342","GERI"
"333F","35","330","Feline FVRCP Vaccination 3year"
"F2Y","35","326","Feline FVRCP Vaccination 1 Year"
"502","22","321","502"
"1010","35","319","1010"
"333","107","303","333"
"126232","27.18","298","126232"
"VACCLC","35","298","VACCLC"
"MEDSM","50","286","MEDSM"
"MEDLG","100","282","Take-Home Medications - Large"
"SCARS11","10","281","SCARS11"
"011259","9","280","011259"
