treatment_code,description,list_price,confidence,tier,window_used,window_charges,mode_share_pct,second_price,second_count,third_price,third_count,list_price_365d,confidence_365d,uses_365d,revenue_365d,price_changed
HC,"Health Exam - Canine",80,71,MEDIUM,90d,1387,66.8,86,412,51.6,23,80,71,1443,116661.2,false
0714,"Urgent Pet Care Office Visit",92.5,95,HIGH,90d,261,92.7,55.5,8,83.25,8,80,72,1388,115739.26,true
HEF,"Health Exam - Feline",80,47,LOW,90d,419,48,86,196,51.6,17,80,69,953,77006.2,false
GERI,"Geriatric Panel",270,88,HIGH,90d,62,83.9,135,6,202.5,2,270,95,182,47808.9,false
2VW,"X-Rays   2 Views",225,76,MEDIUM,90d,43,72.1,249,10,259,2,225,94,182,41236,false
GENPA2,"DECLINED: Pre- Anesthetic (10) CBC Lytes",96,95,HIGH,90d,74,93.2,31.81,3,48,1,96,98,331,31486.43,false
303A,"Euthanasia Attended (Client)",180,100,HIGH,90d,51,100,,0,,0,180,99,157,28300,false
GERPUW,"Geriatric Panel + Urinalysis",303.9,61,MEDIUM,180d,42,59.5,342.9,16,270,1,303.9,77,67,20969.4,false
F2Y,"Feline FVRCP (1 yr )",35,45,LOW,90d,614,38.1,30,198,38,120,35,44,617,20672.46,false
URIN2,"Urinalysis Full IN",95.7,95,HIGH,90d,58,93.1,23.93,2,23.92,1,95.7,97,217,20391.81,false
BLO,"Blood collection",41.35,98,HIGH,90d,186,97.8,82.7,3,31.01,1,41.35,98,427,18138.18,false
GPCPL,"Geriatric Panel + Pancreatic Lipase",308.9,98,HIGH,90d,34,100,,0,,0,308.9,100,57,17607.3,false
GENAL3,"General Health (17) CBC  Lytes  SDMA",233.9,99,HIGH,365d,71,98.6,222.9,1,,0,233.9,99,71,16595.9,false
DENTCALA,"Dental - Canine < 50 lb",375,40,LOW,180d,31,32.3,445,8,267,7,375,63,46,15312.6,false
ORA3,"Radiograph Dental Full Mouth",200,74,MEDIUM,180d,41,70.7,120,10,50,1,200,87,78,14400,false
402A,"Extractions - Major",98,44,LOW,180d,30,36.7,128,8,294,3,98,57,61,13988.8,false
CYSTO,"Urine collection",46.8,100,HIGH,90d,87,100,,0,,0,46.8,100,285,13321.62,false
0023,"Feline - Spay",216,53,MEDIUM,180d,47,42.6,129.6,12,298,8,216,51,69,13312.4,false
142836T,"Apoquel Chewable tablets 16mg(per tab)",240,28,LOW,180d,34,17.6,96.96,6,366,5,96,32,83,13019.08,true
GENAL2,"General Health (15) CBC  Lytes  SDMA",222.9,100,HIGH,365d,56,100,,0,,0,222.9,100,56,12482.4,false
DENTALB,"Dental Block/Quadrant",125.2,75,MEDIUM,180d,43,65.1,250.4,6,75.12,4,125.2,54,76,11940.95,false
HEXAM,"Health Exam",86,78,MEDIUM,180d,54,74.1,80,13,51.6,1,80,73,139,11295.6,true
402,"Extractions - Minor",58,31,LOW,180d,34,23.5,98,8,174,4,58,40,60,10893.9,false
2VWA,"Chest X-Rays (2L+Vd)",270,99,HIGH,180d,37,100,,0,,0,270,99,40,10800,false
109257,"Microchip",60,99,HIGH,180d,85,98.8,45,1,,0,60,98,173,10302,false
FLU,"IV Fluids Set Up & Maintenance",245,96,HIGH,365d,41,95.1,122.5,1,203.6,1,245,96,41,9881.1,false
CYTOLOGY,"Ear Swab/ Microscopic Exam",57.6,92,HIGH,90d,36,91.7,34.56,3,,0,57.6,97,161,9159.44,false
ISOPERH,"Anesthesia - Isoflurane/Hr",552,67,MEDIUM,365d,17,58.8,414,2,690,2,552,67,17,9135.6,false
FEFIV,"DECLINED: FELV/FIV Snap Test IN",63.9,98,HIGH,90d,34,100,,0,,0,63.9,100,142,9073.8,false
0022,"Feline Neuter",120,39,LOW,180d,36,33.3,153,11,91.8,6,120,67,79,9001.8,false
136040,"Convenia Inj. 80mg/mL",67.76,24,LOW,180d,69,7.2,64.96,5,58.61,4,58.56,26,143,8884.96,true
MEDLG,"Take-Home Medications - Large",200,78,MEDIUM,180d,35,77.1,100,8,,0,200,82,48,8600,false
132101T,"Apoquel 16mg (per tab)",122.4,35,LOW,365d,51,13.7,251.4,5,57.9,5,122.4,35,51,8403.75,false
SQ,"SQ Fluids",55,99,HIGH,180d,59,98.3,46.75,1,,0,55,99,150,8186.75,false
WBMD1,"DECLINED: Histology w Micro Description",330.5,90,HIGH,365d,24,91.7,353.9,2,,0,330.5,90,24,7978.8,false
GENAL1,"General Health (10) CBC  Lytes  SDMA",175.9,93,HIGH,365d,42,92.9,351.8,3,,0,175.9,93,42,7915.5,false
MEDSM,"Take Home Medications - Small",50,58,MEDIUM,90d,32,59.4,100,13,,0,50,80,121,7535,false
131069,"PVD Fel UR ST/OX Salmon - 156g",75.84,38,LOW,180d,35,25.7,72.96,7,145.92,5,69.84,53,101,7404.72,true
125207,"Clavamox Drops 62.5mg/ml 15ml",63.78,49,LOW,90d,32,43.8,59.69,10,115.56,6,59.69,60,74,7338.23,true
TOTT 4,"Thyroid IN",107.9,83,HIGH,365d,71,80.3,53.95,14,,0,107.9,83,71,6905.6,false
1VW,"X-Rays 1 View",150,72,MEDIUM,180d,36,63.9,180,6,95,4,150,80,47,6749,false
DENTALFE,"Dental - Feline",320,80,HIGH,365d,24,75,1.8,2,160,2,320,80,24,6664.1,false
