treatment_code,description,list_price,confidence,tier,last_changed,months_held,charges_since_change,share_at_list_pct,alt1_price,alt1_count,alt2_price,alt2_count,uses_365d,revenue_365d
HC,"Health Exam - Canine",80,67,MEDIUM,2026-03-01,1,1162,71.2,86,303,48,12,1233,99506.4
0714,"Urgent Pet Care Office Visit",92.5,59,MEDIUM,2026-03-01,1,5,80,55.5,1,,0,981,78948.26
HEF,"Health Exam - Feline",86,65,MEDIUM,2026-03-01,1,21,76.2,51.6,4,43,1,845,67934
F2Y,"Feline FVRCP + Chlamidia 1Yr",35,51,MEDIUM,2026-03-01,1,925,41.4,30,315,38,192,944,32297.02
BLO,"Blood collection",41.35,99,HIGH,2024-01-01,27,1448,98.5,24.81,8,82.7,7,591,24671.48
CYSTO,"Urine collection",46.8,100,HIGH,2021-01-01,58,884,99.1,42.12,4,28.08,3,269,12568.14
102221,"Kennel Cough Oral 1 year",30,99,HIGH,2022-04-01,37,1179,98.1,18,11,38,7,393,11775
109257,"Microchip (Includes Implanting )",60,99,HIGH,2023-09-01,30,416,98.6,45,4,36,2,186,11052
HEXAM,"Health Exam",86,83,HIGH,2025-11-01,5,44,77.3,80,8,51.6,2,128,10191.2
V1,"Rabies  Canine/Feline 1 Year",30,98,HIGH,2022-04-01,48,1253,96.2,18,37,38,4,324,9617.5
V3,"Rabies Canine/ Feline  3  Years  #15-266",30,99,HIGH,2022-04-01,48,1236,97.7,38,16,15,8,298,8895
CYTOLOGY,"Cytology In House (Minor)",57.6,98,HIGH,2023-08-01,32,433,95.8,34.56,13,28.8,2,152,8557.52
FEFIV,"FELV/FIV Snap Test (In Clinic)",63.9,100,HIGH,2024-07-01,19,158,100,,0,,0,129,8243.1
136040,"Convenia Inj. 80mg/mL",67.76,31,LOW,2026-02-01,1,8,25,76.8,1,65.67,1,135,8087.36
SQ,"SQ Fluids",55,98,HIGH,2022-08-01,41,479,95.6,33,12,27.5,4,145,7845.75
GERI,"Geriatric Panel IN CLINIC",270,63,MEDIUM,2026-02-01,1,1,100,,0,,0,30,7695
2VW,"X-Rays   2 Views",225,100,HIGH,2024-12-01,10,53,100,,0,,0,32,7200
SEDIM,"Sedation- IM",61.11,99,HIGH,2023-08-01,32,292,97.9,36.67,3,30,2,107,6538.77
GENPA2,"Pre-Anesthetic(10)CBC Lytes (Sx)",31.81,54,MEDIUM,2026-01-01,3,5,60,96,1,48,1,72,6460.05
FTES,"Fluid Therapy - Elective Surgery",55,83,HIGH,2025-08-01,7,90,68.9,33,26,46.75,2,121,5907
HCR,"Health Exam Recheck Canine",69,78,HIGH,2025-12-01,4,10,90,41.4,1,,0,84,5375.9
140513,"RC Fel Urinary SO - 145g",72.48,65,MEDIUM,2026-03-01,1,2,100,,0,,0,81,5296.96
99005471,"Gabapentin 100mg/ml",44.7,37,LOW,2026-03-01,1,5,40,39.25,1,61.05,1,164,5273.49
307,"Cremation Communal 1kg-10kg(2.3lbs-22lbs",78,81,HIGH,2026-01-01,3,18,94.4,60,1,,0,82,5226
URIN2,"Urinalysis Full (In Clinic)",95.7,38,LOW,2026-03-01,1,2,50,57.42,1,,0,56,5213.78
115191,"Cerenia Injection",70.1,24,LOW,2026-03-01,1,8,12.5,47.65,1,50.56,1,129,5168.56
MEDSM,"Take-Home Medications - Small",50,97,HIGH,2025-10-01,6,51,94.1,150,3,,0,93,5105
104861,"Metacam Oral 1.5mg/ml Bct 10ml",43.84,73,MEDIUM,2026-02-01,2,16,87.5,42.63,2,,0,113,4925.44
2VWA,"Chest X-Rays (2L+Vd)",270,98,HIGH,2023-01-01,15,37,100,,0,,0,18,4860
142836T,"Apoquel Chewable tablets 16mg(per tab)",103.2,63,MEDIUM,2026-03-01,1,1,100,,0,,0,46,4586.43
HERF,"Health Exam Recheck - Feline",69,84,HIGH,2025-12-01,3,18,100,,0,,0,69,4565
3YEARS,"Canine Da2ppv 5 way 3 years",30,99,HIGH,2022-04-01,47,646,98.5,38,6,25.5,1,151,4515
