treatment_code,description,list_price,last_changed,months_held,confidence,tier,share_pct,charges_in_run,alt1_price,alt1_count,alt2_price,alt2_count,drifting,drift_price,drift_months,uses_365d,revenue_365d
HC,"Health Exam - Canine",80,2025-01-01,5,87,HIGH,91.3,23,76,1,40,1,true,86,2,417,33422.8
F2Y,"Feline FVRCP + Chlamidia 1Yr",30,2022-05-01,22,99,HIGH,100,41,,0,,0,true,35,1,925,30916.01
0714,"Urgent Pet Care Office Visit",92.5,2025-11-01,5,92,HIGH,92.2,258,80,12,55.5,5,false,,0,306,27216.88
BLO,"Blood collection",41.35,2024-01-01,27,100,HIGH,99.1,1526,37.22,6,24.81,5,false,,0,625,25829.28
HEF,"Health Exam - Feline",80,2025-02-01,6,91,HIGH,89.3,28,48,3,,0,true,86,2,251,20368.8
CYSTO,"Urine collection",46.8,2021-01-01,58,99,HIGH,98.4,902,42.12,6,28.08,4,false,,0,283,13171.86
GERI,"Geriatric Panel IN CLINIC",270,2024-01-01,21,97,HIGH,95,159,135,4,162,3,false,,0,50,13032.9
102221,"Kennel Cough Oral 1 year",30,2022-04-01,36,99,HIGH,97.3,1315,18,20,38,12,false,,0,425,12630
V1,"Rabies 1 Year",30,2022-04-01,48,97,HIGH,95.4,1340,18,48,38,5,false,,0,347,10157.5
GENPA2,"Pre-Anesthetic(10)CBC Lytes (Sx)",96,2025-06-01,8,95,HIGH,90.4,104,31.81,7,48,2,false,,0,106,9547.29
V3,"Rabies Canine/ Feline  3  Years  #15-266",30,2022-04-01,48,99,HIGH,97.7,1405,38,24,15,6,false,,0,262,7804.5
2VW,"X-Rays   2 Views",225,2025-02-01,8,97,HIGH,94.9,59,249,3,,0,false,,0,34,7722
303A,"Euthanasia   Attended (Client)",180,2022-04-01,29,99,HIGH,98.2,170,162,1,90,1,false,,0,36,6520
URIN2,"Urinalysis Full (In Clinic)",95.7,2023-05-01,24,98,HIGH,96.8,186,47.85,3,57.42,2,false,,0,62,5785.06
104861,"Metacam Oral 1.5mg/ml Bct 10ml",44.24,2025-08-01,6,93,HIGH,86.8,91,37.6,8,42.63,4,true,43.84,2,129,5514.72
99005471,"Gabapentin 100mg/ml Aqueous",32.7,2025-06-01,4,60,MEDIUM,48.1,27,45.78,4,2.18,2,true,44.7,1,179,5284.88
0023,"Feline Spay",295,2022-11-01,7,83,HIGH,80,15,177,3,,0,true,178.8,1,27,5266.4
GPCPL,"Geriatric Panel + Pancreatic Lipase",308.9,2025-06-01,6,94,HIGH,100,16,,0,,0,false,,0,16,4942.4
GERPUW,"Geriatric Panel + Urinalysis",303.9,2025-03-01,4,78,HIGH,85.7,14,270,1,342.9,1,true,342.9,2,15,4758.6
115191,"Cerenia Injection",42.97,2021-07-01,3,34,LOW,25,4,40.17,1,37.38,1,true,47.65,1,122,4517.44
DENTCALA,"Dental - Canine < 50 lb",375,2025-03-01,4,83,HIGH,100,9,,0,,0,true,445,2,15,4446.4
ORA3,"Dental x-ray full mouth",200,2025-03-01,6,92,HIGH,92.3,26,120,2,,0,true,120,1,24,4380
DENTALB,"Dental Block/Quadrant",125.2,2025-11-01,5,75,HIGH,68,25,250.4,2,500.8,2,false,,0,27,4281.84
K95WAY,"Canine Da2ppv (5 way)",30,2022-04-01,47,98,HIGH,96.4,499,18,7,38,5,false,,0,141,4188.5
