treatment_code,description,list_price,last_changed,days_held,months_held,previous_price,last_old_price_date,confidence,tier,share_pct,charges_in_run,drifting,drift_price,drift_months,uses_365d,revenue_365d
HC,"Health Exam - Canine",86,2025-11-26,130,4,80,2025-11-24,78,HIGH,79.3,29,true,80,1,1306,104940.4
0714,"Urgent Pet Care Office Visit",92.5,2025-11-11,145,5,80,2025-11-08,90,HIGH,88.3,360,false,,0,1193,99078.76
HEF,"Health Exam - Feline",80,2025-01-10,450,10,,,99,HIGH,98.3,480,true,86,2,896,72017.2
2VW,"X-Rays   2 Views",225,2024-12-20,471,16,259,2024-12-07,97,HIGH,94,250,false,,0,157,35553
GERI,"Geriatric Panel IN CLINIC",270,2024-01-20,806,27,129.78,2019-02-03,98,HIGH,96.6,495,false,,0,135,35483.4
F2Y,"Feline FVRCP (1 yr )",30,2022-05-07,1429,22,38,2022-02-04,99,HIGH,100,43,true,35,1,948,32007.46
GENPA2,"Pre-Anesthetic(10)CBC Lytes (Sx)",96,2023-08-17,962,32,48,2023-05-27,99,HIGH,97.5,557,false,,0,285,26977.05
BLO,"Blood collection",41.35,2024-01-10,816,27,,,99,HIGH,98.4,1495,false,,0,572,24133.93
303A,"Euthanasia   Attended (Client)",180,2021-04-04,1827,52,135,2020-12-30,99,HIGH,97.8,491,false,,0,121,21860
URIN2,"Urinalysis Full (In Clinic)",95.7,2022-08-03,1341,44,86.13,2022-07-26,98,HIGH,97.2,684,false,,0,202,19195.55
GERPUW,"Geriatric Panel + Urinalysis",342.9,2026-01-15,80,3,303.9,2026-01-12,68,MEDIUM,72.2,18,false,,0,61,19047
GENAL3,"General Health (17) CBC  Lytes  SDMA",233.9,2025-01-11,449,14,,,99,HIGH,98.9,92,false,,0,62,14490.8
GPCPL,"Geriatric Panel + Pancreatic Lipase",308.9,2025-04-03,367,11,,,99,HIGH,100,44,false,,0,42,12973.8
CYSTO,"Urine collection",46.8,2021-01-13,1908,58,55,2020-02-05,100,HIGH,99.1,916,false,,0,268,12526.02
0023,"Feline Spay",216,2025-10-08,179,4,129.6,2025-10-06,68,MEDIUM,61.5,26,true,298,2,62,11871.6
102221,"Kennel Cough Oral 1 year",30,2022-04-09,1457,36,38,2022-04-08,99,HIGH,98.4,1190,false,,0,390,11658
142836T,"Apoquel Chewable tablets 16mg(per tab)",96,2025-08-02,246,2,102,2025-07-31,45,LOW,36.8,19,true,240,2,79,11480.81
402A,"Dental Extraction Surgical Major",128,2026-01-20,75,3,294,2026-01-09,52,MEDIUM,46.2,13,false,,0,44,11290.8
