treatment_code,description,price_90d,confidence_90d_pct,usage_90d,price_180d,confidence_180d_pct,usage_180d,price_365d,confidence_365d_pct,usage_365d,revenue_365d,price_drifted
HC,"Health Exam - Canine",80,64.1,1322,80,63.5,1336,80,64.1,1362,109950.8,false
HEF,"Health Exam - Feline",80,58.7,479,86,47.4,665,80,58.8,906,72797.2,false
0714,"Urgent Pet Care Office Visit",92.5,84.1,88,92.5,76.1,218,80,73.1,729,59850.14,true
GERI,"Geriatric Panel",270,81.3,48,270,88.6,88,270,92.8,166,43313.4,false
BLO,"Blood collection",41.35,96.9,162,41.35,97.9,341,41.35,97.8,680,28719.65,false
F2Y,"Feline FVRCP + Chlamidia 1Yr",35,45.2,790,35,45.2,790,35,44.8,796,26961.9,false
GERPUW,"Geriatric Panel + Urinalysis",342.9,70.4,27,303.9,53.5,43,303.9,70,70,21998.1,true
2VW,"X-Rays   2 Views",225,86.7,15,225,85.2,27,225,93.6,78,17596,false
CYSTO,"Urine collection",46.8,97.8,90,46.8,98.2,167,46.8,98.4,319,14863.68,false
GPCPL,"Geriatric Panel + Pancreatic Lipase",308.9,100,20,308.9,100,24,308.9,100,46,14209.4,false
402A,"Extractions - Major",128,40,20,128,28.6,28,98,32,50,12476.1,true
109257,"DECLINED: Microchip",60,100,18,60,99,100,60,98.5,202,12066,false
DENTCALA,"Dental - Canine < 50 lb",445,38.9,18,375,36.4,22,375,52.9,34,11963,true
142836T,"Apoquel Chewable tablets 16mg(per tab)",103.2,44.4,9,366,22.2,27,70.2,8.4,83,11767.28,true
GENPA2,"DECLINED: Pre- Anesthetic (10) CBC Lytes",96,69.7,33,96,82.8,58,96,84.3,115,10309.1,false
ISOPERH,"Anesthesia - Isoflurane/Hr",248.4,33.3,3,552,53.8,13,552,55.6,18,10101.6,true
2VWA,"Chest X-Rays (2L+Vd)",270,100,14,270,100,30,270,100,35,9450,false
CYTOLOGY,"Ear Swab/ Microscopic Exam",57.6,88.2,34,57.6,88.5,78,57.6,92.8,166,9324.64,false
402,"Extractions - Minor",98,45.5,22,98,31.3,32,58,24,50,9072.9,true
132100,"Apoquel 5.4mg (100 tabs)",,,0,,,0,4454.85,100,2,8909.7,
136040,"Convenia Inj. 80mg/mL",61.81,10.5,19,75.26,9.2,65,52.17,4,149,8785.06,true
HEXAM,"Health Exam",86,100,22,86,92.3,65,86,56.1,107,8615.6,false
SQ,"SQ Fluids",55,94.1,34,55,97,67,55,98.1,157,8591,false
142835,"Apoquel Chewable tab 5.4mg (100 tabs)",,,0,,,0,4253.25,100,2,8506.5,
FEFIV,"DECLINED: FELV/FIV Snap Test IN",63.9,100,22,63.9,100,70,63.9,100,133,8498.7,false
0023,"Feline - Spay",298,80,10,129.6,44,25,129.6,45.5,44,8394.8,true
SEDIM,"Sedation- IM < 10 kg",61.11,100,31,61.11,100,64,61.11,99.3,134,8219.29,false
URIN2,"Urinalysis Full IN",95.7,84,25,95.7,87.5,48,95.7,88.8,89,8149.91,false
132101T,"Apoquel 16mg (per tab)",122.4,66.7,3,232.2,26.7,15,122.4,13,46,8141.75,false
117505,"PVD Fel UR ST/OX - 7.26kg",118.24,78.6,14,113.69,53.8,26,111.45,64.8,71,8019,true
WBMD1,"DECLINED: Histology w Micro Description",353.9,100,3,330.5,82.4,17,330.5,87.5,24,8002.2,true
303A,"Euthanasia Attended (Client)",180,100,9,180,100,17,180,100,44,7920,false
DENTALB,"Dental Block/Quadrant",125.2,64,25,125.2,68.3,41,125.2,52.5,61,7806.22,false
125207,"Clavamox Drops 62.5mg/ml 15ml",59.69,37.9,29,59.69,60.4,48,59.69,53.9,76,7802.29,false
TOTT 4,"Thyroid IN",53.95,100,12,107.9,51.5,33,107.9,79.7,79,7660.9,true
408,"Oral Timed Surgery /10 Min",,,0,,,0,652.8,25,8,7616,
0022,"Feline Neuter",120,40,5,120,56,25,120,68.2,66,7381.8,false
99005471,"Gabapentin 100mg/ml Aqueous",33.8,18,61,44.7,14.4,139,44.7,9,234,7103.92,true
