#,group,code,our_price,drift_price,description,avimark_price,correct?,notes
1,A,0714,92.5,,"Urgent Pet Care Office Visit",,,
2,A,BLO,41.35,,"Blood collection",,,
3,A,CYSTO,46.8,,"Urine collection",,,
4,A,GERI,270,,"Geriatric Panel IN CLINIC",,,
5,A,102221,30,,"Kennel Cough Oral 1 year",,,
6,A,V1,30,,"Rabies 1 Year",,,
7,A,GENPA2,96,,"Pre-Anesthetic(10)CBC Lytes (Sx)",,,
8,A,V3,30,,"Rabies Canine/ Feline  3  Years  #15-266",,,
9,A,2VW,225,,"X-Rays   2 Views",,,
10,A,303A,180,,"Euthanasia   Attended (Client)",,,
11,A,URIN2,95.7,,"Urinalysis Full (In Clinic)",,,
12,A,GPCPL,308.9,,"Geriatric Panel + Pancreatic Lipase",,,
13,A,DENTALB,125.2,,"Dental Block/Quadrant",,,
14,A,K95WAY,30,,"Canine Da2ppv (5 way)",,,
15,A,3YEARS,30,,"Canine Da2ppv 5 way 3 years",,,
16,B,HC,80,86,"Health Exam - Canine",,,
17,B,HEF,80,86,"Health Exam - Feline",,,
18,B,104861,44.24,43.84,"Metacam Oral 1.5mg/ml Bct 10ml",,,
19,B,GERPUW,303.9,342.9,"Geriatric Panel + Urinalysis",,,
20,B,DENTCALA,375,445,"Dental - Canine < 50 lb",,,
21,B,121157,33.84,35.71,"Metacam Oral Feline 3ml",,,
22,B,140559,40.2,38.73,"Nexgard Combo 2.5 - 7.5kg Feline",,,
23,C,115191,42.97,47.65,"Cerenia Injection",,,
24,C,136040,41.83,76.8,"Convenia Inj. 80mg/mL",,,
25,C,142836T,32.37,240,"Apoquel Chewable tablets 16mg(per tab)",,,
